Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1JIzFhI9Lt5FyslawmHCBi,"Five Years - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,283752,62,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.46,0.326,7,-10.699,1,0.0417,0.142,0.0000101,0.0449,0.321,152.531,3
spotify:track:1bo6xzrCrK7ocEirC5rrZk,"Soul Love - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,214198,58,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.573,0.404,2,-12.142,1,0.0626,0.0579,0.00000152,0.217,0.709,72.906,4
spotify:track:6mib3N4E8PZHAGQ3xy7bho,"Moonage Daydream - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,279693,70,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.56,0.605,11,-11.209,0,0.0348,0.0408,0.000162,0.0585,0.756,144.478,4
spotify:track:0pQskrTITgmCMyr85tb9qq,"Starman - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,254293,81,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.486,0.449,5,-10.298,1,0.0267,0.166,0.00000223,0.54,0.549,100.456,4
spotify:track:0xRUwscEziliaWCsmq7n2w,"It Ain't Easy - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,177774,53,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.503,0.279,2,-12.755,1,0.0281,0.0174,0,0.214,0.177,133.558,4
spotify:track:2ZWKuGuQ087pzwK4vO4E31,"Lady Stardust - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,201426,59,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.593,0.368,9,-12.257,1,0.0337,0.615,0,0.0905,0.484,128.8,4
spotify:track:5WfSHn8qVk1W3GJJQpETC1,"Star - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,167550,53,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.452,0.856,0,-8.721,1,0.0448,0.178,0.0000332,0.185,0.553,138.486,4
spotify:track:1dWoKufYqWrjfxYhFnHyMP,"Hang on to Yourself - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,159958,52,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.476,0.788,2,-10.654,1,0.0322,0.0241,0.0377,0.358,0.936,89.551,4
spotify:track:5IyL3XOaRPpTgxVjRIAxXU,"Ziggy Stardust - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,193880,66,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.515,0.554,7,-11.616,1,0.0784,0.0478,0,0.219,0.509,80.146,4
spotify:track:3YZa4IzxK2UtEKTvdTgsi8,"Suffragette City - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,208413,60,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.455,0.883,2,-9.159,1,0.0384,0.368,0,0.277,0.782,142.638,4
spotify:track:1k5iH4KDKi56MFvlnrALNV,"Rock 'n' Roll Suicide - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,178265,61,false,meikeenlotte,2026-03-19T11:27:32Z,"glamrock,artrock","Parlophone UK",0.457,0.308,0,-11.474,1,0.0398,0.309,0.00000164,0.107,0.271,103.11,3
